date,official_draw,internal_draw,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,source,source_url,note
2025-11-05,25453,,6,7,10,12,23,24,25,27,35,36,37,38,43,44,48,58,61,63,64,66,Eurooppalotto/LotteryGuru,https://eurooppalotto.ru/drugie-loterei/azerbajdzhan-super-keno-11717.html,
2025-11-06,25454,,1,5,6,7,8,10,21,28,29,35,36,38,51,54,56,59,60,65,66,70,Eurooppalotto/LotteryGuru,https://eurooppalotto.ru/drugie-loterei/azerbajdzhan-super-keno-11717.html,
2025-11-07,25455,,6,14,16,18,21,23,30,37,43,45,47,49,50,53,55,56,59,60,62,67,Eurooppalotto/LotteryGuru,https://eurooppalotto.ru/drugie-loterei/azerbajdzhan-super-keno-11717.html,
2025-11-08,25456,,8,9,16,22,25,27,28,30,36,40,42,44,46,49,50,62,66,68,69,70,Eurooppalotto/LotteryGuru,https://eurooppalotto.ru/drugie-loterei/azerbajdzhan-super-keno-11717.html,
2025-11-09,25457,,3,6,11,13,16,17,21,22,25,26,27,31,33,34,41,44,49,54,62,67,Eurooppalotto/LotteryGuru,https://eurooppalotto.ru/drugie-loterei/azerbajdzhan-super-keno-11717.html,
2025-11-10,25461,,5,10,11,14,17,25,32,34,35,37,39,40,42,43,45,50,51,53,62,66,Eurooppalotto/LotteryGuru,https://eurooppalotto.ru/drugie-loterei/azerbajdzhan-super-keno-11717.html,
2025-11-12,25463,,2,5,6,7,10,11,16,17,19,32,35,39,41,42,43,50,51,59,61,64,Eurooppalotto/LotteryGuru,https://sr.eurooppalotto.com/druge-lutrije/azerbejdan-super-keno-11717.html,
2025-11-20,25474,,2,3,11,15,16,24,33,35,40,41,44,46,48,50,55,60,62,63,65,67,Eurooppalotto Ukraine/Argentina,https://argentina.eurooppalotto.com/otras-loterias/azerbaiyan-super-keno-11717.html,
2025-11-21,25475,,1,5,7,12,16,17,21,27,28,29,38,44,47,49,55,60,64,66,67,69,Eurooppalotto Ukraine/Argentina,https://argentina.eurooppalotto.com/otras-loterias/azerbaiyan-super-keno-11717.html,
2025-11-22,25476,,2,6,7,24,26,27,28,29,32,34,39,41,43,44,45,47,57,59,61,68,Eurooppalotto Ukraine/Argentina,https://argentina.eurooppalotto.com/otras-loterias/azerbaiyan-super-keno-11717.html,
2025-11-24,25481,,3,13,14,18,21,26,29,30,32,33,36,37,45,47,57,60,61,64,66,70,Eurooppalotto Ukraine/Argentina,https://argentina.eurooppalotto.com/otras-loterias/azerbaiyan-super-keno-11717.html,
