date,official_draw,internal_draw,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,source,source_url,note
2026-05-15,26205,1607,7,11,12,17,18,20,23,27,36,37,41,48,56,62,64,65,66,68,69,70,Lucky Numbers / Eurooppalotto,https://lucky-numbers.ru/lottery/az/super-keno/column-results,
2026-05-16,26206,1608,2,6,7,13,16,18,21,30,31,34,36,37,43,44,45,46,53,55,59,60,Lucky Numbers / Eurooppalotto,https://lucky-numbers.ru/lottery/az/super-keno/column-results,
2026-05-17,26207,1609,5,11,12,18,19,27,31,35,36,37,44,45,46,59,60,61,64,67,68,69,Lucky Numbers / Eurooppalotto,https://lucky-numbers.ru/lottery/az/super-keno/column-results,
2026-05-18,26211,1610,1,2,3,8,9,13,15,16,23,25,27,34,38,41,48,49,63,64,67,69,Lucky Numbers / Eurooppalotto,https://lucky-numbers.ru/lottery/az/super-keno/column-results,
2026-05-19,26212,1611,2,5,7,8,9,13,14,16,18,29,30,33,34,41,45,49,54,55,57,61,Lucky Numbers / Eurooppalotto,https://lucky-numbers.ru/lottery/az/super-keno/column-results,
2026-05-20,26213,1612,3,8,21,24,25,41,42,43,44,47,48,51,52,57,58,61,62,65,66,69,Lucky Numbers / Eurooppalotto,https://lucky-numbers.ru/lottery/az/super-keno/column-results,
2026-05-21,,1613,5,7,8,9,12,18,21,27,29,33,37,39,43,44,46,48,52,54,56,61,Lucky Numbers / Eurooppalotto,https://lucky-numbers.ru/lottery/az/super-keno/column-results,
2026-05-22,,1614,8,9,10,12,17,23,24,26,27,30,38,43,50,54,56,58,59,62,63,70,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-05-23,,1615,3,4,5,7,12,13,14,17,22,25,31,32,33,47,50,51,57,63,65,70,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-05-24,,1616,7,8,21,23,25,26,32,33,36,38,39,42,49,53,56,59,66,67,68,69,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-05-25,,1617,3,6,7,8,11,20,21,23,29,30,35,40,43,46,50,55,62,65,69,70,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-05-26,,1618,1,3,4,8,15,16,17,19,20,21,22,24,30,31,36,39,43,46,47,59,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-05-27,,1619,6,7,8,13,16,23,25,29,32,38,45,48,51,55,57,58,59,63,66,67,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-05-28,,1620,3,8,11,12,13,20,21,23,36,42,43,46,49,51,55,56,57,59,60,62,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-05-29,,1621,2,4,8,17,18,21,22,25,26,29,30,37,41,43,51,53,55,59,64,67,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-05-30,,1622,11,12,13,15,17,19,21,23,24,25,27,28,32,37,41,44,48,53,59,61,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-05-31,,1623,4,6,7,11,17,21,23,24,31,35,36,43,46,48,49,52,55,59,67,69,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-01,,1624,9,12,15,21,32,36,39,42,44,45,46,48,51,53,56,60,61,64,66,67,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-02,,1625,1,3,6,7,9,10,15,23,27,32,36,37,38,39,44,56,60,63,64,65,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-03,,1626,3,13,14,20,21,24,31,36,40,41,42,43,46,51,52,59,61,63,65,69,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-04,26234,1627,5,7,12,14,19,21,24,27,28,30,34,37,40,41,42,55,61,62,65,70,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-05,26235,1628,3,8,9,13,18,19,20,24,25,29,32,36,40,44,49,52,58,63,65,69,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-06,26236,1629,8,11,14,20,22,26,28,30,39,40,43,45,46,47,50,57,59,60,67,70,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-07,26237,1630,2,9,12,18,20,24,25,28,32,33,34,35,36,40,44,50,54,56,58,61,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-08,26241,1631,1,2,5,9,12,18,24,25,28,31,36,39,40,52,54,60,61,62,63,65,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-09,26242,1632,1,5,11,13,17,18,20,34,41,45,46,48,50,54,56,59,60,63,65,68,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-10,26243,,1,2,5,6,7,9,11,17,20,26,37,40,42,45,47,55,60,63,65,69,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-11,,,1,3,6,10,16,20,26,27,33,34,38,44,45,48,57,59,62,63,64,66,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-12,,,6,7,9,10,12,20,23,30,31,35,37,38,43,45,47,51,56,59,61,65,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-13,26246,,2,8,11,13,14,20,21,34,38,42,46,50,52,56,58,60,64,65,66,70,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-14,26247,,3,7,23,27,28,29,30,35,40,47,48,56,58,59,61,64,66,67,69,70,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-15,26251,,3,11,17,20,24,27,32,35,36,39,44,50,52,57,58,60,62,64,68,70,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-16,26252,,14,18,20,24,25,31,32,34,37,38,39,41,42,56,58,60,61,62,67,69,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-17,26253,,2,4,6,7,10,13,18,32,36,37,38,43,44,46,51,52,53,61,64,65,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-18,26254,,1,7,11,13,15,16,18,21,22,23,26,27,28,33,34,47,50,59,65,69,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-19,26255,,2,3,4,5,7,8,15,18,19,23,24,25,33,34,35,40,42,49,63,70,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-20,26256,,2,5,7,11,14,16,23,24,25,27,28,34,38,40,56,57,58,59,65,69,Magayo / Eurooppalotto,https://www.magayo.com/lotto/azerbaijan/super-keno-results/,
2026-06-21,26257,,7,10,11,16,18,19,20,23,25,26,27,29,36,39,44,45,54,57,61,66,Azerlotereya / Magayo,https://www.azerlotereya.com/neticeler/super-keno,
