ticket_id,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
108,1,7,10,12,24,30,40,41,62,68
109,7,23,25,29,34,40,57,58,59,65
110,6,12,18,27,42,44,53,59,64,67
111,11,13,17,18,28,32,36,46,52,68
112,8,16,18,23,31,38,43,59,61,66
113,23,26,39,43,45,46,48,49,50,69
114,6,11,16,19,21,25,41,43,63,64
115,17,20,21,26,29,36,40,48,65,66
116,12,14,15,29,30,44,47,49,60,64
117,9,17,23,24,31,39,50,51,58,63
118,3,11,25,29,30,35,39,44,62,67
119,1,15,27,28,33,35,42,44,53,55
120,8,16,22,23,38,45,54,55,58,68
121,3,8,15,17,25,27,43,49,50,65
122,5,11,35,36,37,39,53,57,60,65
123,19,21,32,41,55,58,65,67,69,70
124,7,23,27,31,37,51,56,61,65,70
125,3,8,13,14,21,42,47,49,52,67
126,3,13,15,29,30,34,35,54,61,70
127,10,16,31,36,58,60,62,64,67,69
128,2,6,13,18,21,26,47,52,54,60
129,14,18,25,26,27,51,53,65,66,68
130,2,8,20,24,32,34,36,40,42,51
131,11,15,18,19,33,46,50,52,55,61
132,10,12,26,33,38,39,45,52,58,66
133,6,9,21,22,24,29,33,57,64,65
134,3,6,11,16,22,30,39,42,50,51
135,1,2,3,8,34,39,45,47,53,64
136,9,22,31,40,46,56,58,62,63,65
137,5,20,22,24,28,42,47,66,67,69
138,9,16,21,30,33,37,43,45,56,70
139,15,19,30,36,46,52,53,62,64,69
140,2,7,14,18,21,39,45,55,60,63
141,6,9,24,32,39,46,53,55,56,61
142,1,3,7,14,26,40,41,56,61,67
143,1,2,6,25,38,40,41,46,54,59
144,24,25,26,42,46,51,56,57,58,62
145,6,11,22,32,33,43,49,50,52,57
146,7,24,27,29,39,40,45,52,58,66
147,2,13,20,34,37,49,64,65,68,70
148,2,6,7,10,22,48,54,55,66,68
149,1,15,16,17,28,31,33,44,49,51
150,1,10,20,25,30,31,32,48,57,60
151,4,6,13,14,26,30,53,61,67,69
152,3,9,15,38,44,60,62,63,65,67
153,5,15,22,30,34,39,52,54,56,68
154,7,16,27,39,41,43,44,48,57,58
155,3,21,28,30,32,40,48,53,62,68
156,12,14,18,23,37,39,40,44,45,66
157,8,16,22,23,27,45,49,50,62,69
158,10,20,29,36,37,42,47,49,67,69
159,1,19,27,29,32,35,37,50,51,61
160,1,9,23,26,29,34,36,38,60,61
161,1,6,8,18,20,29,30,36,43,46
162,15,16,27,31,34,36,40,46,50,63
163,1,5,25,27,32,35,36,39,54,55
164,1,6,12,15,16,19,21,22,35,42
165,5,21,23,39,55,56,59,61,69,70
166,6,8,18,26,28,29,32,44,47,61
167,12,15,33,35,47,58,61,64,66,70
168,2,4,7,8,10,33,36,49,54,57
169,2,3,4,12,15,20,21,27,31,33
170,5,7,12,25,37,44,46,48,55,67
171,13,30,32,33,40,44,50,51,60,66
172,2,5,6,8,25,31,34,41,64,67
173,1,7,16,21,36,53,55,62,65,66
174,9,21,22,28,34,35,37,39,47,48
175,8,14,21,26,27,30,42,52,66,69
176,5,11,31,32,36,37,41,42,63,66
177,7,9,11,13,17,36,50,62,66,70
178,13,22,24,26,37,47,49,57,65,68
179,3,7,8,15,22,40,41,45,58,66
180,1,11,15,38,40,43,52,57,58,68
181,9,14,24,26,28,33,39,43,53,69
182,1,8,9,14,15,19,22,25,49,61
183,12,16,21,32,51,53,59,61,69,70
184,4,6,8,12,26,35,43,58,63,66
185,7,10,27,39,42,46,47,48,50,65
186,6,14,24,30,34,45,50,53,58,62
187,19,28,48,55,57,62,63,64,68,69
188,6,8,10,16,19,30,31,44,62,64
189,13,16,22,27,36,47,51,52,56,65
190,6,18,20,23,41,53,55,65,66,70
191,5,16,28,29,35,36,40,48,51,56
192,3,8,13,18,43,46,47,54,61,65
193,1,5,19,24,27,28,35,44,45,46
194,2,5,7,19,29,40,50,59,60,69
195,10,17,20,21,27,28,32,39,46,59
196,9,15,19,22,33,35,36,38,46,68
197,11,20,21,34,37,44,45,50,63,70
198,2,10,19,25,33,48,54,57,58,64
199,3,31,35,36,42,49,50,58,62,68
200,3,16,18,34,37,39,42,44,54,59
201,4,7,17,21,27,28,39,50,53,66
202,2,11,19,29,30,31,35,57,65,67
203,2,3,17,24,25,32,42,43,47,65
