ticket_id,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
200,1,17,28,31,34,37,45,54,56,68
201,1,3,16,21,38,55,57,66,68,70
202,11,13,15,18,23,26,44,50,65,69
203,7,9,11,13,21,26,27,37,46,70
204,2,7,18,26,27,28,50,51,55,59
205,1,3,8,23,33,37,47,48,49,53
206,4,5,6,8,27,31,35,36,61,67
207,2,5,22,25,31,32,47,51,57,69
208,9,23,27,32,34,35,46,52,53,55
209,20,21,26,30,32,35,59,61,67,70
210,11,21,24,25,27,42,44,51,61,65
211,5,14,27,31,37,39,40,45,60,67
212,6,11,15,17,35,36,40,46,52,67
213,13,27,31,37,42,44,45,56,59,67
214,12,16,22,23,25,32,47,51,53,57
215,7,9,10,12,18,28,44,47,49,55
216,3,28,31,35,36,40,48,52,62,70
217,10,11,13,24,27,32,37,38,39,53
218,15,16,36,41,45,56,59,62,65,69
219,2,3,16,34,39,43,47,52,57,58
220,6,12,20,26,27,37,44,56,57,58
221,1,4,16,17,28,29,38,51,54,63
222,5,6,16,24,31,37,41,42,45,57
223,22,23,36,38,39,53,57,62,63,64
224,2,3,18,32,35,36,42,44,50,61
225,11,14,17,19,25,38,40,46,53,70
226,14,22,31,33,37,41,46,48,52,61
227,7,8,13,23,34,38,48,52,58,66
228,9,12,16,19,23,28,32,40,44,69
229,2,7,11,26,27,32,36,49,57,70
230,7,18,28,41,45,46,50,54,60,69
231,5,19,21,27,28,34,42,48,49,70
232,1,10,24,32,36,40,48,50,51,70
233,1,2,6,18,24,29,38,54,64,69
234,6,23,28,32,40,49,50,52,62,67
235,3,4,8,24,29,30,32,45,47,66
236,8,10,12,13,19,25,28,33,43,69
237,2,3,7,11,15,17,26,28,40,55
238,3,4,6,7,15,18,34,57,58,63
239,3,13,16,26,33,37,44,59,64,70
240,1,12,19,30,35,36,38,48,63,68
241,3,20,21,29,35,36,50,64,68,70
242,6,12,17,22,24,36,39,42,49,52
243,7,11,22,28,37,39,47,53,57,68
244,3,6,7,8,9,10,38,41,52,56
245,9,17,20,22,25,29,53,60,64,66
246,13,19,24,31,36,39,42,63,68,69
247,2,5,21,22,36,38,39,46,52,61
248,1,5,7,12,20,27,31,45,56,68
249,2,15,22,25,27,42,47,57,59,61
250,4,5,10,23,26,27,38,48,59,62
251,8,13,28,29,34,40,55,57,63,69
252,1,5,13,23,29,30,34,41,50,65
253,9,14,20,22,24,34,41,50,61,69
254,3,11,13,15,20,34,58,65,66,70
255,13,23,27,29,32,34,47,49,51,54
256,4,6,14,16,31,32,38,55,61,70
257,3,7,9,31,32,33,44,52,54,62
258,9,16,18,21,23,29,30,54,57,61
259,8,11,14,19,20,35,45,53,54,69
260,4,10,21,35,37,43,48,49,56,61
261,2,12,15,25,32,40,45,63,65,67
262,2,8,10,11,15,22,23,40,45,69
263,5,20,22,25,44,47,52,54,56,67
264,3,7,11,30,37,40,48,62,63,67
265,5,10,11,17,27,32,35,42,43,50
266,11,13,14,21,25,37,55,57,67,70
267,3,26,27,32,33,34,41,47,48,53
268,5,20,21,28,29,35,46,60,65,66
269,2,3,5,13,17,18,34,41,47,69
270,3,4,16,31,36,42,43,46,48,67
271,2,19,21,28,33,37,39,40,49,54
272,1,6,8,22,23,31,33,37,45,67
273,7,14,19,20,30,34,40,44,50,58
274,20,28,31,35,48,51,61,66,69,70
275,1,6,12,16,23,41,44,57,64,66
276,11,12,17,23,27,30,44,48,56,70
277,6,22,27,31,39,45,49,54,58,62
278,3,18,21,26,34,37,39,54,60,62
279,2,13,29,34,36,42,44,46,53,60
280,4,10,23,24,27,29,33,39,42,60
281,11,20,42,50,51,54,56,63,64,68
282,6,10,19,20,48,51,55,57,59,66
283,3,6,12,13,21,22,44,49,62,63
284,4,5,6,39,42,43,47,56,61,66
285,6,21,23,30,43,55,58,62,65,70
286,3,10,30,33,36,37,39,45,48,63
287,5,6,10,11,27,32,33,38,51,66
288,12,18,20,23,34,38,40,44,60,64
289,18,22,24,30,34,35,43,51,58,61
290,23,25,29,39,42,47,49,53,55,68
291,2,9,16,25,37,51,55,58,63,66
292,2,6,7,18,22,29,43,46,51,65
293,4,12,20,24,25,29,33,47,57,67
294,3,11,18,30,34,43,45,53,64,67
295,1,2,6,7,16,32,40,55,60,65
296,12,18,20,22,31,35,40,50,53,61
297,9,11,16,28,30,31,32,41,47,53
298,3,16,24,44,47,50,54,55,62,63
299,5,15,18,20,22,32,44,56,57,59
300,10,15,18,23,32,40,41,56,59,68
301,1,12,19,24,25,35,44,46,53,64
302,4,14,18,22,24,27,37,50,51,64
303,2,5,7,11,15,24,27,34,40,48
304,3,12,14,20,21,35,43,46,51,55
305,3,4,7,12,20,29,31,40,66,69
306,3,16,20,22,25,26,39,53,57,64
307,1,4,26,28,30,31,47,55,65,68
308,23,25,26,27,37,42,48,53,55,62
309,2,9,16,18,22,45,52,55,56,57
310,6,10,15,22,32,43,47,55,58,69
311,14,16,22,23,24,37,46,52,65,68
312,2,14,16,17,20,31,45,60,62,66
313,5,10,20,23,27,33,34,45,51,53
314,2,8,15,17,30,40,42,44,49,59
315,5,7,27,40,42,50,53,57,63,70
316,8,20,26,29,31,37,45,47,66,70
317,5,7,12,20,24,30,53,55,60,68
318,2,14,16,23,25,29,34,35,44,67
319,1,4,12,13,19,45,46,54,58,62
320,12,16,20,26,27,47,53,56,58,62
321,1,29,31,35,38,46,53,59,62,65
322,1,3,4,16,20,41,48,51,59,68
323,10,16,25,26,27,38,41,48,55,59
324,1,21,26,29,30,37,39,51,60,64
325,3,7,11,15,18,22,23,43,53,68
326,4,12,17,24,46,51,58,60,63,68
327,5,7,12,15,30,35,37,43,55,60
328,3,9,14,19,20,31,32,45,59,65
329,8,22,26,31,32,50,57,60,62,63
330,25,27,32,35,41,45,48,50,59,61
331,2,6,15,24,26,27,33,37,46,56
332,1,2,28,35,40,41,55,60,63,68
333,9,12,24,37,39,40,41,52,54,62
334,2,6,31,34,37,45,54,61,62,63
335,8,15,16,19,22,45,61,63,65,67
336,2,9,16,30,32,49,55,57,62,63
337,15,17,29,31,44,45,46,61,63,64
338,2,17,21,27,33,39,47,48,54,66
339,13,28,35,48,51,53,56,61,64,67
340,1,6,16,20,24,35,44,50,63,66
341,13,15,19,40,41,43,49,51,53,56
342,3,7,12,21,22,33,35,39,41,53
343,6,9,10,17,20,26,48,55,63,69
344,1,7,8,16,29,30,43,48,51,52
345,9,13,18,45,48,53,55,61,62,70
346,7,13,14,24,36,41,46,52,63,66
347,13,28,29,34,36,43,45,50,51,56
348,12,13,15,19,38,46,48,53,55,62
349,5,10,19,31,36,47,49,52,54,70
350,4,6,14,35,55,56,59,67,69,70
351,17,22,37,43,47,52,63,65,67,69
352,14,17,34,42,45,58,59,61,66,67
353,16,23,38,39,42,43,45,46,49,58
354,4,7,18,24,27,30,37,42,50,67
355,5,9,33,37,47,49,61,62,65,70
356,20,27,47,50,51,57,59,61,67,68
357,2,5,8,10,13,29,37,50,58,59
358,1,4,10,20,27,43,52,54,57,69
359,1,10,31,34,38,44,45,49,59,66
360,6,15,18,20,30,34,50,51,61,67
361,2,3,22,33,37,39,56,60,62,67
362,8,20,23,37,50,52,55,61,62,65
363,18,23,30,47,49,53,55,56,57,69
364,11,16,19,35,41,44,48,51,57,68
365,2,33,41,48,50,54,59,61,62,65
366,23,36,46,48,53,54,57,63,64,67
367,9,23,26,32,36,43,48,50,58,60
368,6,14,18,22,24,25,38,40,61,67
369,5,9,21,26,39,44,48,56,61,67
370,12,18,31,40,42,49,57,59,68,69
371,6,9,14,18,19,30,51,53,55,61
372,13,17,26,27,29,32,33,40,47,70
373,13,14,20,24,29,36,44,49,53,63
374,16,22,27,34,40,43,50,51,59,69
375,1,5,6,7,10,21,23,29,55,70
376,12,14,17,20,21,32,41,55,61,66
377,1,9,12,19,25,28,47,52,67,68
378,4,17,22,39,40,45,48,54,68,69
379,3,13,15,18,24,32,33,53,60,69
380,5,8,13,19,23,49,57,59,63,69
381,8,35,40,41,42,48,52,54,60,70
382,5,6,27,34,37,43,45,63,64,66
383,6,15,30,39,45,48,50,55,65,66
384,2,3,13,16,25,38,49,53,60,69
385,7,10,18,26,32,37,38,44,56,65
386,2,3,4,15,40,53,56,57,63,70
387,5,9,14,27,29,42,55,61,64,69
388,2,11,25,29,43,46,47,49,63,64
389,10,11,15,21,23,36,43,49,51,66
390,1,2,6,7,20,37,41,48,60,63
391,1,4,11,12,40,55,57,59,60,67
392,6,13,22,30,32,36,39,44,51,67
393,12,13,31,42,51,52,61,65,67,69
394,2,3,14,15,28,37,47,51,55,63
395,5,7,8,14,17,19,29,38,41,58
396,3,6,7,13,36,42,43,56,68,69
397,2,13,21,34,36,44,45,47,53,70
398,11,15,24,29,34,36,42,60,62,66
399,5,17,22,31,37,42,52,63,68,69
400,1,8,9,14,25,41,54,55,61,70
401,3,6,8,10,14,32,47,59,61,67
402,1,2,9,11,29,34,40,49,64,66
403,13,14,20,27,38,42,51,60,66,70
404,4,11,20,23,24,27,34,39,50,58
405,2,7,20,33,35,41,47,54,55,56
406,2,3,4,6,13,16,17,50,58,68
407,2,8,12,18,21,31,34,45,60,61
408,3,4,11,12,35,52,62,63,65,67
409,13,24,30,41,44,45,51,54,57,61
410,1,9,11,16,18,20,45,46,67,68
411,11,12,15,17,32,41,46,55,57,61
412,6,8,14,28,33,42,45,60,61,68
413,6,24,25,44,47,52,57,58,60,61
414,8,21,24,31,43,51,58,62,63,69
415,7,15,21,32,34,44,48,59,61,70
416,1,15,26,47,51,52,57,61,64,67
417,5,7,8,13,17,31,45,47,54,57
418,4,9,10,25,32,34,46,60,61,62
419,6,11,21,22,30,32,36,51,62,70
420,13,19,21,26,29,30,36,61,62,64
421,3,8,12,21,22,30,32,41,43,67
422,4,12,20,21,23,44,46,49,53,68
423,9,18,25,26,33,39,43,51,58,69
424,10,16,26,30,38,39,44,58,59,64
425,2,5,21,28,34,39,40,56,60,61
426,9,29,31,45,50,53,56,57,62,65
427,4,12,25,31,35,51,56,60,62,67
428,6,7,10,13,20,37,38,52,57,63
429,1,13,14,15,35,36,40,56,62,68
430,9,41,42,44,45,53,56,60,63,66
431,8,10,13,22,30,34,39,46,56,60
432,13,28,30,33,36,41,44,53,55,67
433,20,23,28,31,37,38,41,42,56,69
434,13,15,31,33,38,41,43,56,60,66
435,8,14,19,25,36,37,51,52,56,68
436,13,25,28,36,47,48,54,55,58,69
437,3,7,13,24,37,54,55,63,64,66
438,7,23,30,35,48,51,56,59,62,64
439,5,15,32,33,34,43,49,53,62,65
440,3,4,20,25,37,40,47,53,54,70
441,5,7,11,16,24,27,46,50,55,65
442,2,6,7,9,10,27,37,39,42,67
443,6,16,20,40,41,57,60,63,65,67
444,2,8,26,32,37,42,43,47,54,67
445,5,9,20,30,35,39,45,54,55,65
446,1,10,18,24,27,43,49,52,61,65
447,2,5,6,17,19,26,42,48,51,52
448,8,11,21,35,37,48,53,54,60,70
449,5,10,32,38,39,46,49,52,53,61
450,5,13,17,21,31,54,55,56,63,65
451,3,4,6,8,17,29,32,34,36,64
452,2,6,7,8,16,18,29,41,58,65
453,6,9,21,23,39,47,57,59,61,68
454,2,8,12,20,36,43,49,60,68,69
455,12,18,20,34,45,46,47,50,63,68
456,6,7,11,17,35,48,52,56,59,65
457,7,25,26,27,38,43,44,54,61,64
458,30,35,37,38,46,53,59,60,62,67
459,6,19,21,22,30,33,42,47,52,66
460,2,6,15,28,30,39,40,46,51,65
461,2,5,15,17,33,40,47,50,61,69
462,5,7,16,22,24,27,29,40,42,61
463,2,5,19,25,27,34,44,50,51,66
464,16,21,39,44,46,53,54,59,61,68
465,3,4,8,24,29,32,48,49,50,63
466,1,2,8,34,35,40,41,53,57,68
467,3,29,33,39,43,44,49,53,60,68
468,3,17,22,25,26,37,45,51,56,58
469,1,10,22,29,37,38,46,48,50,59
470,3,10,22,32,37,42,55,57,66,69
471,8,18,19,27,29,36,42,54,55,59
472,4,11,18,20,25,27,56,59,61,67
473,9,14,23,28,33,41,50,51,63,65
474,1,2,11,12,26,31,43,49,62,69
475,3,18,27,31,36,45,52,56,63,69
476,10,27,30,31,35,40,47,60,66,67
477,6,7,8,17,24,25,39,52,62,63
478,4,7,18,19,24,33,35,42,65,68
479,18,19,24,35,37,41,49,53,59,61
480,1,8,14,30,32,33,34,36,43,69
481,4,9,21,23,52,56,58,61,64,68
482,9,28,32,33,35,42,44,53,56,57
483,5,8,10,12,31,34,35,37,61,67
484,2,20,24,34,42,46,51,53,64,68
485,11,15,19,24,31,40,41,52,55,57
486,15,16,30,42,44,49,50,58,67,69
487,6,7,13,17,25,31,33,44,54,55
488,5,8,23,26,27,36,39,48,60,64
489,10,12,19,24,27,36,43,46,53,68
490,6,13,24,28,32,40,51,54,63,68
491,2,4,22,25,26,28,33,36,40,61
492,1,2,3,13,16,29,41,53,64,69
493,4,6,12,13,30,46,48,51,59,67
494,17,25,27,36,40,42,46,53,61,66
495,5,7,18,25,27,29,34,46,49,51
496,11,13,15,17,26,35,40,49,52,66
497,2,3,16,31,35,37,43,50,54,67
498,4,10,19,28,36,47,48,67,68,69
499,8,9,10,11,27,38,42,43,62,67
500,9,12,16,17,24,29,56,66,67,69
501,17,21,24,26,31,43,49,54,62,67
502,2,7,14,17,45,56,60,67,68,70
503,12,19,20,22,38,39,45,46,57,69
504,10,23,40,41,46,48,49,57,59,70
505,24,25,27,35,37,43,44,62,66,67
506,2,25,33,37,45,47,50,58,61,67
507,3,4,23,26,27,28,36,44,47,67
508,5,17,20,25,28,30,37,62,64,70
509,1,3,8,21,22,25,49,50,57,67
510,5,12,17,22,36,39,57,62,63,67
511,10,16,20,23,33,37,46,51,53,55
512,4,20,26,29,31,39,41,43,56,66
513,4,10,11,24,28,32,38,42,53,56
514,23,24,26,32,39,45,50,52,58,63
515,7,8,19,28,41,48,49,50,65,67
516,6,9,19,21,29,30,41,57,61,64
517,4,22,28,30,33,37,47,52,54,66
518,5,13,14,17,18,26,38,45,60,64
519,3,15,30,32,33,40,42,44,57,68
520,5,11,14,17,18,29,34,48,50,69
521,3,5,7,12,16,30,34,51,67,70
522,16,20,25,36,44,47,48,52,58,68
523,15,19,26,35,37,40,57,65,67,69
524,2,7,14,19,27,28,42,48,61,62
525,2,5,8,9,27,40,42,62,66,68
526,7,23,28,29,32,33,50,57,61,67
527,8,16,22,27,31,36,49,57,60,64
528,2,4,6,9,22,25,42,47,51,61
529,2,11,14,32,48,49,61,64,65,70
530,3,17,20,27,28,32,34,51,62,67
531,6,16,18,21,26,30,31,47,64,66
532,3,17,20,27,33,39,49,50,65,66
533,4,5,8,10,13,24,26,42,57,65
534,17,20,27,28,30,39,43,50,52,54
535,1,3,4,14,15,18,29,33,35,49
536,3,5,23,41,48,50,51,58,65,67
537,6,18,21,33,34,44,45,59,61,66
538,6,9,17,19,28,47,50,55,61,69
539,4,17,24,27,28,29,41,44,53,55
540,19,23,28,32,38,40,41,53,68,69
541,4,5,6,8,26,33,40,48,53,54
542,1,10,21,24,35,38,56,59,64,65
543,20,28,40,43,46,57,59,60,61,67
544,4,9,12,25,30,31,32,33,34,53
545,17,25,29,34,39,42,47,54,62,69
546,15,16,17,22,23,24,26,27,53,61
547,2,4,5,32,34,42,43,54,66,69
548,6,15,23,27,37,44,45,57,59,60
549,3,8,11,23,36,42,43,51,54,64
550,12,19,23,27,32,36,41,65,66,69
551,4,17,23,28,38,40,44,56,65,69
552,14,16,17,25,34,36,65,67,68,70
553,3,7,21,31,42,46,53,66,68,69
554,3,20,36,40,44,46,58,60,63,69
555,2,10,12,37,38,42,47,49,54,65
556,5,16,24,36,37,42,47,61,62,63
557,28,29,31,35,46,48,54,57,62,67
558,9,11,14,26,28,42,47,57,61,67
559,4,11,28,32,33,43,44,57,65,69
560,5,7,21,22,34,45,47,57,64,66
561,2,27,33,40,44,45,46,63,67,70
562,4,10,11,16,22,23,43,46,50,56
563,6,21,25,27,30,34,37,41,52,54
564,5,27,37,38,44,56,59,64,66,69
565,6,7,28,35,50,51,52,54,58,66
566,9,10,14,20,36,41,43,51,65,69
567,8,17,23,24,25,34,35,42,56,65
568,14,18,32,33,42,46,49,51,64,70
569,15,17,24,40,41,42,44,48,61,70
570,17,21,23,25,28,31,37,48,51,67
571,1,10,15,20,25,32,48,53,57,60
572,4,13,17,19,21,39,43,50,55,66
573,3,11,14,19,34,35,37,48,61,70
574,10,16,29,41,45,49,52,57,61,62
575,3,10,13,34,42,48,52,55,68,69
576,1,4,6,11,30,35,52,55,65,66
577,7,11,12,29,30,37,41,48,59,63
578,13,17,27,45,54,59,60,65,66,68
579,4,5,11,20,29,34,35,44,49,69
580,1,7,14,31,35,41,46,50,52,53
581,4,7,8,15,22,23,31,34,62,63
582,13,14,22,30,41,43,54,55,63,68
583,3,18,27,30,33,48,60,62,64,70
584,2,3,9,11,13,44,47,52,53,67
585,3,8,9,10,24,40,41,52,69,70
586,1,6,13,34,37,47,53,54,63,65
587,6,12,15,35,40,44,45,49,51,69
588,1,6,10,22,39,42,44,45,48,62
589,2,4,13,17,34,43,48,51,60,69
590,16,20,21,36,43,49,54,60,61,66
591,16,20,31,32,33,41,46,59,61,69
592,1,5,19,28,30,36,38,42,51,67
593,16,17,20,36,37,44,52,68,69,70
594,8,21,23,25,26,54,59,66,67,69
595,4,6,8,16,23,26,39,65,66,68
596,8,9,16,28,36,42,45,46,50,60
597,4,9,11,17,19,24,44,63,64,65
598,17,20,24,27,37,50,61,62,68,70
599,5,14,16,18,25,35,40,41,57,64
600,2,7,9,18,32,42,52,54,56,58
601,1,13,15,18,29,31,47,55,59,66
602,10,26,27,29,46,51,52,53,60,61
603,10,19,24,27,37,38,45,50,63,70
604,20,24,35,36,40,42,55,58,63,65
605,3,21,34,35,45,47,51,55,59,69
606,7,18,21,31,40,44,49,54,61,66
607,2,8,10,18,23,36,37,47,64,66
608,2,7,18,29,31,36,41,45,47,62
609,18,19,29,35,50,51,54,60,67,68
610,3,4,12,23,26,28,29,33,38,47
611,2,4,8,9,12,20,30,52,55,58
612,2,5,10,12,15,18,31,34,40,41
613,1,5,17,24,27,31,34,45,55,68
614,7,29,31,47,56,57,58,60,67,69
615,1,8,9,18,36,37,40,52,62,63
616,6,26,35,43,45,46,47,49,57,66
617,3,11,15,22,25,35,40,43,48,60
618,6,26,27,30,31,33,37,51,52,57
619,3,5,27,31,44,60,63,64,65,67
620,4,9,19,25,29,32,36,44,52,62
621,6,8,27,28,30,35,36,42,48,60
622,9,14,15,27,34,45,52,61,62,70
623,7,10,15,17,24,26,27,31,33,34
624,1,7,15,29,30,41,43,51,52,70
625,9,13,17,24,37,47,63,64,65,70
626,10,13,16,23,26,32,50,51,59,67
627,10,12,17,20,32,34,49,51,52,69
628,6,7,17,23,24,29,54,60,63,65
629,2,3,5,8,37,48,54,55,59,60
630,21,22,29,33,35,38,43,54,58,60
631,2,4,25,26,31,37,44,54,56,60
632,3,5,8,23,41,60,63,64,67,69
633,6,10,12,16,32,38,43,51,59,64
